pair_id,status,reasons
v11_SYN_0119_02366_collision_orbit_right_64_seed41366_background_drift_visible,PASS,
v11_SYN_0061_02284_collision_orbit_right_64_seed41284_collision_response_failure_synthetic,PASS,
v11_SYN_0265_04260_containment_orbit_left_44_seed43260_containment_failure_synthetic,PASS,
v11_SYN_0439_01060_drop_orbit_left_72_seed40060_drop_motion_failure_synthetic,PASS,
v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift,PASS,
v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift,PASS,
v10_TypeM_049_04302_containment_orbit_left_44_seed43302_local_patch_freeze,PASS,
v11_SYN_0459_01101_drop_orbit_left_72_seed40101_local_scene_patch_drift,PASS,
v10_TypeM_060_prefix5_anchored_d744c2d6f264ba_object_deformation_local_temporal_jump,PASS,
v11_SYN_EXTRA_0094_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_object_deformation_visible,PASS,
v11_SYN_EXTRA_0087_02384_collision_orbit_right_64_seed41384_object_duplicate_or_fragment,PASS,
v11_SYN_0455_01086_drop_orbit_left_72_seed40086_partial_freeze_foreground,PASS,
v11_SYN_0260_04252_containment_orbit_left_44_seed43252_reobserve_mismatch_visible,PASS,
v11_SYN_0559_03494_roll_orbit_right_60_seed42494_roll_event_fragment_synthetic,PASS,
v11_SYN_0468_01102_drop_orbit_left_72_seed40102_wrong_camera_motion_visible,PASS,
v11_SYN_0131_02384_collision_orbit_right_64_seed41384_background_drift_visible,PASS,
v11_SYN_EXTRA_0041_02284_collision_orbit_right_64_seed41284_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0177_04260_containment_orbit_left_44_seed43260_containment_failure_synthetic,PASS,
v11_SYN_0445_01079_drop_orbit_left_72_seed40079_drop_motion_failure_synthetic,PASS,
v10_TypeM_047_04279_containment_orbit_left_44_seed43279_foreground_identity_color_shift,PASS,
v10_TypeM_050_04339_containment_orbit_left_44_seed43339_local_patch_drift,PASS,
v10_TypeM_053_04351_containment_orbit_left_44_seed43351_local_patch_freeze,PASS,
v11_SYN_0471_01108_drop_orbit_left_72_seed40108_local_scene_patch_drift,PASS,
v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump,PASS,
v11_SYN_0146_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_object_deformation_visible,PASS,
v11_SYN_0237_04228_containment_orbit_left_44_seed43228_object_duplicate_or_fragment,PASS,
v11_SYN_0448_01079_drop_orbit_left_72_seed40079_object_identity_color_shift,PASS,
v11_SYN_0461_01101_drop_orbit_left_72_seed40101_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0174_04252_containment_orbit_left_44_seed43252_reobserve_mismatch_visible,PASS,
v11_SYN_0565_03495_roll_orbit_right_60_seed42495_roll_event_fragment_synthetic,PASS,
v11_SYN_0474_01108_drop_orbit_left_72_seed40108_wrong_camera_motion_visible,PASS,
v11_SYN_0497_03413_roll_orbit_right_60_seed42413_background_drift_visible,PASS,
v11_SYN_0067_02286_collision_orbit_right_64_seed41286_collision_response_failure_synthetic,PASS,
v11_SYN_0271_04267_containment_orbit_left_44_seed43267_containment_failure_synthetic,PASS,
v11_SYN_0451_01086_drop_orbit_left_72_seed40086_drop_motion_failure_synthetic,PASS,
v10_TypeM_051_04342_containment_orbit_left_44_seed43342_foreground_identity_color_shift,PASS,
v10_TypeM_054_04355_containment_orbit_left_44_seed43355_local_patch_drift,PASS,
v10_TypeM_057_prefix5_anchored_1279c3b65a6d9e_object_identity_change_local_patch_freeze,PASS,
v11_SYN_0016_02215_collision_strafe_left_180_seed41215_local_scene_patch_drift,PASS,
v10_TypeM_080_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_local_temporal_jump,PASS,
v11_SYN_EXTRA_0102_prefix5_anchored_525c18bc4422f0_background_drift_object_deformation_visible,PASS,
v11_SYN_0255_04249_containment_orbit_left_44_seed43249_object_duplicate_or_fragment,PASS,
v11_SYN_0473_01108_drop_orbit_left_72_seed40108_partial_freeze_foreground,PASS,
v11_SYN_0266_04260_containment_orbit_left_44_seed43260_reobserve_mismatch_visible,PASS,
v11_SYN_0571_03505_roll_orbit_right_60_seed42505_roll_event_fragment_synthetic,PASS,
v11_SYN_0488_03410_roll_orbit_right_60_seed42410_wrong_camera_motion_visible,PASS,
v11_SYN_0503_03418_roll_orbit_right_60_seed42418_background_drift_visible,PASS,
v11_SYN_EXTRA_0045_02286_collision_orbit_right_64_seed41286_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0181_04267_containment_orbit_left_44_seed43267_containment_failure_synthetic,PASS,
