row_index,manifest_kind,category,copy_source,destination_subdir,exists,file_type,size_bytes,sha256_status,copy_recommendation,copy_status,current_approved,review_priority,review_score,recommended_review_action,review_reason,safety_note
629,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/site-packages/fsspec/transaction.py,data,True,file,2398,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
633,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/site-packages/pyparsing/actions.py,data,True,file,8104,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
630,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/site-packages/transformers/feature_extraction_sequence_utils.py,data,True,file,18280,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
631,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/site-packages/transformers/feature_extraction_utils.py,data,True,file,30443,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
627,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/site-packages/~ransformers/feature_extraction_sequence_utils.py,data,True,file,18846,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
628,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/site-packages/~ransformers/feature_extraction_utils.py,data,True,file,30125,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
621,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmpM9KSJy/transformers/feature_extraction_sequence_utils.py,data,True,file,18846,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
622,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmpM9KSJy/transformers/feature_extraction_utils.py,data,True,file,29967,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
610,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmpnfspql/transformers/feature_extraction_sequence_utils.py,data,True,file,18846,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
611,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmpnfspql/transformers/feature_extraction_utils.py,data,True,file,29967,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
608,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmptkOTia/transformers/feature_extraction_sequence_utils.py,data,True,file,18846,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
609,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmptkOTia/transformers/feature_extraction_utils.py,data,True,file,18408,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
606,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmpx3wIqR/transformers/feature_extraction_sequence_utils.py,data,True,file,18846,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
607,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/.tmpx3wIqR/transformers/feature_extraction_utils.py,data,True,file,29967,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
614,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/archive-v0/C-ySTfgPderOgS2u1R2x3/fsspec/transaction.py,data,True,file,2398,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
619,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.cache/uv/archive-v0/GeV30pCmybIU1X8pzZGzl/fsspec/transaction.py,data,True,file,2398,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
