manifest_path,total_rows,read_error,prefix_exists,image_exists,gt_full_exists,gt_future_exists,target_exists,prompt_exists_or_text,poses_exists,intrinsics_exists,runnable,can_cut_prefix_future,template_distribution,camera_motion_distribution,path_root_type
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_14/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_14/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_14/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_15/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_15/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_15/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
manifests/anchored_dpo_probe_pairs_prefix5.jsonl,50,,50,50,50,50,50,50,50,50,50,50,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}","{""local_assets"": 150}"
manifests/dpo_diagnostics/d0_one_pair_typeB.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
manifests/dpo_preference_protocol_v1_pairs.jsonl,66,,66,50,66,66,66,50,50,50,50,50,"{""collision"": 54, ""containment"": 12}","{""orbit_left_44"": 12, ""orbit_right_64"": 54}","{""local_assets"": 198}"
manifests/dpo_preference_protocol_v2_pairs.jsonl,34,,34,34,34,34,34,34,34,34,34,34,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""local_assets"": 102}"
manifests/dpo_preference_protocol_v3_pairs.jsonl,34,,34,34,34,34,34,34,34,34,34,34,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""local_assets"": 102}"
manifests/dpo_preference_protocol_v4_pairs.jsonl,42,,42,42,42,42,42,42,42,42,42,42,"{""collision"": 38, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 38}","{""local_assets"": 126}"
manifests/dpo_preference_protocol_v4_typeM_pairs.jsonl,8,,8,8,8,8,8,8,8,8,8,8,"{""collision"": 8}","{""orbit_right_64"": 8}","{""local_assets"": 24}"
manifests/dpo_typeB_C_loser_pairs_v6.jsonl,4,,4,0,0,4,0,0,0,0,0,0,"{""collision"": 4}","{""orbit_right_64"": 4}","{""local_assets"": 8}"
manifests/quant_benchmark_v1_all.jsonl,80,,0,80,80,0,80,80,80,80,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{"""": 80}"
manifests/quant_benchmark_v1_all_prefix1.jsonl,80,,0,80,80,0,80,80,80,80,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{"""": 80}"
manifests/quant_benchmark_v1_all_prefix16.jsonl,80,,0,80,80,0,80,80,80,80,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{"""": 80}"
manifests/quant_benchmark_v1_all_prefix5.jsonl,80,,0,80,80,0,80,80,80,80,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{"""": 80}"
manifests/quant_benchmark_v1_all_prefix8.jsonl,80,,0,80,80,0,80,80,80,80,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{"""": 80}"
manifests/quant_benchmark_v1_core.jsonl,64,,0,64,64,0,64,64,64,64,0,64,"{""collision"": 16, ""containment"": 16, ""drop"": 16, ""roll"": 16}","{""orbit_left_44"": 16, ""orbit_left_72"": 16, ""orbit_right_60"": 16, ""orbit_right_64"": 16}","{"""": 64}"
manifests/quant_benchmark_v1_stress.jsonl,16,,0,16,16,0,16,16,16,16,0,16,"{""collision"": 6, ""containment"": 4, ""roll"": 6}","{""orbit_left_44"": 4, ""orbit_right_60"": 6, ""strafe_left_180"": 6}","{"""": 16}"
manifests/screen16_v2v5.jsonl,16,,16,16,16,16,16,16,16,16,16,16,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""local_assets"": 48}"
manifests/small_lora_screen16.jsonl,16,,0,16,16,0,16,16,16,16,0,16,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{"""": 16}"
manifests/small_lora_screen16_prefix1.jsonl,16,,0,16,16,0,16,16,16,16,0,16,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{"""": 16}"
manifests/small_lora_screen16_prefix16.jsonl,16,,0,16,16,0,16,16,16,16,0,16,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{"""": 16}"
manifests/small_lora_screen16_prefix5.jsonl,16,,0,16,16,0,16,16,16,16,0,16,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{"""": 16}"
