source,line_no,pair_id,pair_type,v14_pair_source,schema_ok,errors,prefix_exists,winner_full_exists,winner_future_exists,loser_full_exists,loser_future_exists
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,225,v10_TypeM_061_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground_local_patch_freeze,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,226,v11_SYN_0034_02228_collision_orbit_right_64_seed41228_local_scene_patch_drift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,227,v11_SYN_0194_v6_02200_collision_orbit_right_64_seed41200_object_deformation_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path,False,False,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,228,v11_SYN_EXTRA_0171_04249_containment_orbit_left_44_seed43249_object_duplicate_or_fragment,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,229,v11_SYN_0460_01101_drop_orbit_left_72_seed40101_object_identity_color_shift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,230,v11_SYN_0484_03409_roll_orbit_right_60_seed42409_partial_freeze_foreground,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,231,v11_SYN_EXTRA_0178_04260_containment_orbit_left_44_seed43260_reobserve_mismatch_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,232,v11_SYN_0577_03533_roll_orbit_right_60_seed42533_roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,233,v11_SYN_0506_03435_roll_orbit_right_60_seed42435_wrong_camera_motion_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,234,v11_SYN_0509_03435_roll_orbit_right_60_seed42435_background_drift_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
